Name,EGFP/Emerald,EGFP/Emerald,ECFP/Cerulean,ECFP/Cerulean,mCitrine/Ypet,mCitrine/Ypet,mCherry,mCherry,tdTomato,tdTomato,DAPI,DAPI,mPlum,mPlum,mTFP1,mTFP1,NirFP,NirFP,mTagBFP,mTagBFP,mOrange2,mOrange2,mApple,mApple,mRuby,mRuby,DAPI,DAPI,MitoTracker Red CMXRos,MitoTracker Red CMXRos
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ex,Em,Ab,Em,Ab,Em
Quantum Yield,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extinction Coefficient,,"56,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,0.037361082,,0.060172989,,0.024629766,,0.228368997,,0.12651245,,0.9352159,,,,0.019695142,,,,0.068480793,,0.062790562,,0.235,,0.0258,,0.9352159,,0.02100252,0
345,0.039757217,,0.0613672,,0.025219205,,0.224825732,,0.118382421,,0.9418604,,,,0.020154727,,,,0.07331829,,0.059293552,,0.215,,0.026,,0.9418604,,0.02184262,0
346,0.04124095,,0.061844523,,0.025383911,,0.216530793,,0.110478626,,0.948505,,,,0.020604738,,,,0.077217232,,0.056555912,,0.205,,0.0262,,0.948505,,0.02324279,0
347,0.042879883,,0.061554434,,0.024878888,,0.206819689,,0.104002692,,0.9551495,,,,0.021064323,,,,0.084835972,,0.054111926,,0.195,,0.0264,,0.9551495,,0.02478297,0
348,0.043806805,,0.06153415,,0.02299662,,0.193604519,,0.098393071,,0.9601328,,,,0.021753701,,,,0.09402422,,0.051648282,,0.185,,0.0266,,0.9601328,,0.02604312,0
349,0.046640093,,0.061190204,,0.023118273,,0.181272404,,0.092766714,,0.9659469,,,,0.022433504,,,,0.102939412,,0.049843952,,0.175,,0.0268,,0.9659469,,0.02772333,0
350,0.04895206,,0.062552447,,0.021975268,,0.169500126,,0.088694736,,0.9725913,,,,0.022663296,,,,0.109160487,,0.047266557,,0.165,,0.027,,0.9725913,,0.02912349,0
351,0.048075445,,0.062164247,,0.018894179,,0.157592077,,0.084517073,,0.9784053,,,,0.0233431,,,,0.120582741,,0.04586687,,0.1592,,0.0272,,0.9784053,,0.03066368,0
352,0.051169477,,0.065233572,,0.021771358,,0.150311688,,0.080853674,,0.9833887,,,,0.024032477,,,,0.128835421,,0.043988435,,0.1534,,0.0274,,0.9833887,,0.03290395,0
353,0.056989649,,0.070596475,,0.023400859,,0.141279089,,0.078281183,,0.9883721,,,,0.024032477,,,,0.139602494,,0.041675207,,0.1476,,0.0276,,0.9883721,,0.03430412,0
354,0.053922251,,0.068077534,,0.023472403,,0.135993948,,0.074944085,,0.9908638,,,,0.024721855,,,,0.148869181,,0.039002615,,0.1418,,0.0278,,0.9908638,,0.03556427,0
355,0.055660383,,0.068477812,,0.02018923,,0.131669903,,0.072693566,,0.9933555,,,,0.025861244,,,,0.161861903,,0.037180062,,0.136,,0.028,,0.9933555,,0.03738449,0
356,0.058994872,,0.070982823,,0.018797872,,0.128716767,,0.070108084,,0.9966777,,,,0.027000632,,,,0.173768924,,0.035046516,,0.1338,,0.029,,0.9966777,,0.03878465,0
357,0.061618444,,0.074025963,,0.020632627,,0.126456746,,0.067730813,,0.9983389,,,,0.02769001,,,,0.17953023,,0.032896405,,0.1316,,0.03,,0.9983389,,0.04046485,0
358,0.064603692,,0.075878577,,0.020862985,,0.124956123,,0.065070779,,1,,,,0.029288983,,,,0.186006315,,0.03085375,,0.1294,,0.029,,1,,0.04256511,0
359,0.066179123,,0.077827075,,0.018977988,,0.123588066,,0.06319595,,1,,,,0.029968787,,,,0.207629297,,0.028570009,,0.1272,,0.028,,1,,0.04410529,0
360,0.068477183,,0.078465612,,0.021601046,,0.123362848,,0.060790473,,0.9983389,,,,0.031337967,,,,0.227976432,,0.026479975,,0.125,,0.028,,0.9983389,,0.04606553,0
361,0.072282448,,0.081956534,,0.019921923,,0.122636591,,0.057506393,,0.9958472,,,,0.032477356,,,,0.231703237,,0.024514516,,0.1228,,0.028,,0.9958472,,0.04858583,0
362,0.072945868,,0.082751735,,0.019455501,,0.122337963,,0.055200398,,0.9908638,,,,0.033856112,,,,0.228923436,,0.023287222,,0.122,,0.028,,0.9908638,,0.05054606,0
363,0.075568965,,0.08519824,,0.019453232,,0.12195381,,0.052328993,,0.986711,,,,0.0349955,,,,0.241847384,,0.021141307,,0.12,,0.028,,0.986711,,0.05264632,0
364,0.079787291,,0.089374873,,0.019357896,,0.121387557,,0.04946227,,0.980897,,,,0.036594473,,,,0.266668835,,0.020169787,,0.116,,0.028,,0.980897,,0.05572669,0
365,0.081354159,,0.091982404,,0.019402179,,0.119879451,,0.046723937,,0.9692691,,,,0.038193447,,,,0.291106402,,0.018942714,,0.114,,0.028,,0.9692691,,0.05782694,0
366,0.084128088,,0.094973796,,0.017405362,,0.120012373,,0.044223425,,0.9593024,,,,0.040012639,,,,0.308856857,,0.017770639,,0.112,,0.0278,,0.9593024,,0.06006721,0
367,0.087514673,,0.099439607,,0.016404193,,0.118597276,,0.041461919,,0.9468439,,,,0.04230099,,,,0.326704615,,0.016757042,,0.107,,0.0276,,0.9468439,,0.06230748,0
368,0.090892322,,0.100976641,,0.017028151,,0.117854627,,0.038769582,,0.929402,,,,0.044129756,,,,0.340735864,,0.015922574,,0.105,,0.0274,,0.929402,,0.06342761,0
369,0.092056292,,0.106269041,,0.016273771,,0.115588192,,0.036871697,,0.9152824,,,,0.045958522,,,,0.370177781,,0.015179991,,0.1,,0.0272,,0.9152824,,0.06440773,0
370,0.095531271,,0.110318492,,0.015177569,,0.114770707,,0.035210697,,0.8995016,,,,0.048007507,,,,0.396950004,,0.01481632,,0.095,,0.027,,0.8995016,,0.06510781,0
371,0.09838212,,0.11556809,,0.015904258,,0.11406797,,0.033381865,,0.877907,,,,0.050525651,,,,0.414876029,,0.013639054,,0.0902,,0.027,,0.877907,,0.06510781,0
372,0.100237307,,0.119765261,,0.015032415,,0.112062745,,0.031865524,,0.8596346,,,,0.052804427,,,,0.432331986,,0.013112819,,0.0854,,0.027,,0.8596346,,0.06468776,0
373,0.101117148,,0.124826078,,0.014048701,,0.110892822,,0.030311964,,0.8405315,,,,0.055772582,,,,0.458595434,,0.012046432,,0.0806,,0.027,,0.8405315,,0.0632876,0
374,0.107751953,,0.130588754,,0.014300292,,0.108694095,,0.029159376,,0.8164452,,,,0.058510944,,,,0.487082577,,0.01126111,,0.0758,,0.027,,0.8164452,,0.06160739,0
375,0.11028486,,0.137415014,,0.014408369,,0.105211055,,0.027861076,,0.7981728,,,,0.061029088,,,,0.521745441,,0.010072027,,0.071,,0.027,,0.7981728,,0.05992719,0
376,0.112291915,,0.143144457,,0.014113489,,0.102872635,,0.026570852,,0.7807309,,,,0.06421746,,,,0.543203226,,0.008940593,,0.068,,0.0268,,0.7807309,,0.05698684,0
377,0.116021991,,0.151190707,,0.0151574,,0.10038312,,0.025657957,,0.7558139,,,,0.067415408,,,,0.547226851,,0.008083928,,0.065,,0.0266,,0.7558139,,0.05460655,0
378,0.117397163,,0.157555191,,0.014292573,,0.09754188,,0.024747403,,0.736711,,,,0.070383562,,,,0.54778286,,0.007176462,,0.0614,,0.0264,,0.736711,,0.05236629,0
379,0.121732806,,0.166590907,,0.014987942,,0.094130824,,0.023306434,,0.717608,,,,0.074270887,,,,0.583196974,,0.006307648,,0.0582,,0.0262,,0.717608,,0.04858583,0
380,0.124974976,,0.174136188,,0.013622837,,0.090399759,,0.022214121,,0.6901994,,,,0.077698627,,,,0.617184975,,0.005320667,,0.055,,0.026,,0.6901994,,0.04592551,0
