Name,mCitrine/Ypet,mCitrine/Ypet,mPlum,mPlum,mTFP1,mTFP1,mTagBFP,mTagBFP,tdTomato,tdTomato
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em
Quantum Yield,,,,,,,,,,
Extinction Coefficient,,,,,,,,,,
502,0.52662897,0.020176401,0.129012418,,0.013988625,0.84653,,0.345095022,0.37937654,
503,0.557022303,0.025997242,0.133463609,,0.012839662,0.81962,,0.333149246,0.392123826,
504,0.591787403,0.03164098,0.139245975,,0.012159859,0.79648,,0.320000264,0.405052404,
505,0.629212578,0.040303001,0.144367901,,0.011470481,0.77145,,0.308037679,0.419818943,
506,0.670538907,0.050102372,0.149151849,,0.010790678,0.75316,,0.297032442,0.434280949,
507,0.71519581,0.064014029,0.154585871,,0.010331093,0.73155,,0.285900261,0.449499371,
508,0.760686094,0.078814109,0.161495335,,0.0101013,0.70704,,0.275716323,0.463481757,
509,0.808559927,0.099765206,0.167543689,,0.009641715,0.6902,,0.267169326,0.479678029,
510,0.854523405,0.123168021,0.173071013,,0.009421497,0.67242,,0.257451493,0.492970126,
511,0.898904825,0.152906144,0.181468388,,0.009191704,0.65436,,0.247349559,0.507314861,
512,0.937198348,0.186539408,0.187939612,,0.008961912,0.63941,,0.240535451,0.521587149,
513,0.969032736,0.226584976,0.195235118,,0.008732119,0.62335,,0.231326187,0.533897416,
514,0.990077985,0.27205142,0.204090523,,0.008732119,0.60875,,0.22253034,0.546106797,
515,1,0.322321856,0.210876236,,0.008732119,0.59767,,0.215357507,0.556977851,
516,0.995924914,0.381014164,0.220233387,,0.008502327,0.58215,,0.207370325,0.567838137,
517,0.976825531,0.443189459,0.22899172,,0.008502327,0.57462,,0.201003919,0.575904731,
518,0.943994204,0.51219269,0.23826811,,0.008276336,0.55938,,0.192865904,0.58261439,
519,0.897537827,0.580952331,0.24903002,,0.008276336,0.54687,,0.187333691,0.587767797,
520,0.841560838,0.647161728,0.256341329,,0.008276336,0.53886,,0.179308274,0.593180092,
521,0.776019392,0.715293194,0.266648615,,0.008276336,0.52091,,0.173123717,0.59886567,
522,0.706165651,0.780843237,0.275537731,,0.008276336,0.51179,,0.166821192,0.600715218,
523,0.633284901,0.838011056,0.287598047,,0.008276336,0.49944,,0.16018451,0.604976914,
524,0.561833294,0.890265724,0.298616447,,0.008047986,0.49108,,0.155227308,0.606406063,
525,0.491540238,0.931190276,0.310291808,,0.008276336,0.47356,,0.149185546,0.609637593,
526,0.425619538,0.966095643,0.320162449,,0.008047986,0.45964,,0.144250104,0.611429675,
527,0.365517639,0.987359711,0.332071538,,0.008047986,0.44513,,0.139002588,0.613219768,
528,0.310369161,0.998987175,0.347215405,,0.008047986,0.43034,,0.133850699,0.61880996,
529,0.261784992,0.999998031,0.358170299,,0.008047986,0.41571,,0.129078575,0.624027036,
530,0.21950532,1,0.371838941,,0.008047986,0.39715,,0.123053192,0.628781578,0.002506675
531,0.181757521,0.983227675,0.382856472,,0.008047986,0.386,,0.118271328,0.634464113,0.003045877
532,0.149665711,0.962196628,0.397058034,,0.008047986,0.36753,,0.114399139,0.644101472,0.003685813
533,0.123370065,0.941308021,0.411897199,,0.008047986,0.35332,,0.109732015,0.653366299,0.004616111
534,0.100841343,0.909538275,0.423883061,,0.008047986,0.33579,,0.105641505,0.664100652,0.005313927
535,0.082135617,0.878258204,0.43879349,,0.008047986,0.32147,,0.100448744,0.676196389,0.006490621
536,0.067486293,0.846749049,0.45379106,,0.008047986,0.3094,,0.096966144,0.690357843,0.007751175
537,0.055209875,0.812557845,0.466303533,,0.008047986,0.29364,,0.092889302,0.706901366,0.010834208
538,0.045062844,0.778205167,0.480243529,,0.008047986,0.27889,,0.088934921,0.72104901,0.016097286
539,0.036720045,0.743022143,0.494248046,,0.008047986,0.26483,,0.086280385,0.742361354,0.0205365
540,0.030690892,0.710146364,0.504726351,,0.008047986,0.25252,,0.082634225,0.760716622,0.021887575
541,0.025686693,0.681093457,0.518911746,,0.008047986,0.24033,,0.078828332,0.778735407,0.021813781
542,0.021496622,0.650403686,0.529223961,,0.007819637,0.22842,,0.075354853,0.799016883,0.023570682
543,0.018387703,0.620525094,0.540348714,,0.008047986,0.21769,,0.072887524,0.821550516,0.02672203
544,0.015188639,0.59485829,0.552029657,,0.008047986,0.20516,,0.069910421,0.841268221,0.032285166
545,0.012585759,0.567581929,0.563685951,,0.008047986,0.19642,,0.067033245,0.863252246,0.038319187
546,0.010700707,0.546573725,0.57035074,,0.008047986,0.18694,,0.064291266,0.884670041,0.045171521
547,0.009235582,0.521916333,0.581743728,,0.008047986,0.17945,,0.061599,0.906090178,0.05360941
548,0.008081655,0.502708765,0.589533948,,0.008047986,0.17146,,0.059291427,0.924401557,0.063751427
549,0.007263075,0.483992774,0.597700567,,0.008047986,0.16324,,0.05664281,0.944615619,0.076140622
550,0.006311796,0.465629205,0.602658941,,0.008047986,0.15627,,0.054805861,0.960614097,0.088175727
551,0.004775207,0.452176621,0.611120693,,0.008047986,0.14906,,0.052585661,0.973300524,0.104332003
552,0.004610216,0.436949592,0.614252817,,0.008047986,0.14196,,0.050535628,0.984111303,0.120949764
553,0.00323851,0.423846739,0.621906236,,0.008276336,0.13758,,0.048920421,0.995832168,0.141443631
554,0.002903368,0.415207993,0.628152577,,0.007819637,0.13114,,0.046914565,1,0.16378033
555,0.001941104,0.400877016,0.633618062,,0.007591288,0.12484,,0.04489103,0.999331714,0.188034765
556,0.001577081,0.392874716,0.639285086,,0.007819637,0.12178,,0.043453738,0.995242649,0.217141197
557,0.001274671,0.385713198,0.647452286,,0.007591288,0.11595,,0.041750249,0.98851286,0.246877795
558,0.001115794,0.376438992,0.655777382,,0.007591288,0.11063,,0.039993022,0.974947479,0.280939476
559,0.001405436,0.371791289,0.660889811,,0.007591288,0.10726,,0.038718467,0.957769611,0.317644612
560,0.001968607,0.363237416,0.66660635,,0.007591288,0.10229,,0.037166043,0.938796969,0.356168229
561,0.001772283,0.355310996,0.676171928,,0.007591288,0.09928,,0.035585999,0.911902625,0.397524041
562,0.001189217,0.347711266,0.685275777,,0.007591288,0.09451,,0.034264798,0.878962343,0.441217921
563,0.001728733,0.342000194,0.693829236,,0.007591288,0.08999,,0.033021726,0.845061299,0.485388608
564,0.001287285,0.334803691,0.698835241,,0.007591288,0.08761,,0.031754337,0.806022998,0.531522254
565,0.002158753,0.327094932,0.713556962,,0.007591288,0.08358,,0.030350477,0.764591392,0.577818881
566,0.002003254,0.318134551,0.723104126,,0.007591288,0.08048,,0.029476009,0.723370922,0.625434238
567,0.001210185,0.310925576,0.736226147,,0.007591288,0.07712,,0.028186347,0.676393247,0.66913515
568,0.00060135,0.301833324,0.74286549,,0.007591288,0.0743,,0.027034172,0.63231214,0.715599126
569,0.000854287,0.293802405,0.759858372,,0.007591288,0.06987,,0.026082332,0.586473827,0.755714886
570,0.00128626,0.288009744,0.77191499,,0.007591288,0.06856,,0.024838243,0.541351903,0.796537343
571,0.001246882,0.277397533,0.786172736,,0.007591288,0.06356,,0.024003388,0.495330661,0.832589369
572,0.00086646,0.270760675,0.799987531,,0.007591288,0.06136,,0.023020998,0.452310618,0.868101305
573,0.001046752,0.260215089,0.820679166,,0.007591288,0.05943,,0.022248693,0.410465284,0.895908251
574,0.000696495,0.250364236,0.829222258,,0.007591288,0.05668,,0.02125044,0.370380899,0.924672214
575,0.001430393,0.242660467,0.845081806,,0.007591288,0.05381,,0.0203384,0.331550926,0.943777184
576,0.001744235,0.236181211,0.862496905,,0.007591288,0.05231,,0.019581937,0.297259209,0.96482883
577,0.001651739,0.223054464,0.877380148,,0.007591288,0.04854,,0.018909317,0.264503965,0.976689112
578,0.001272069,0.215298642,0.897867199,,0.007591288,0.0476,,0.018279231,0.235156392,0.986444991
579,0.001772519,0.208634216,0.915659931,,0.007591288,0.04615,,0.01756407,0.208583901,0.995908732
580,0.001807195,0.199455057,0.926421115,,0.007591288,0.0438,,0.016831521,0.185705357,0.995713628
581,0.001547859,0.191103815,0.941141097,,0.007591288,0.04123,,0.015932435,0.163636715,1
582,0.001487645,0.184410441,0.95573015,,0.007591288,0.03895,,0.015440967,0.144412441,0.998307049
